audio_id,model_name,reference,hypothesis,wer,cer,avg_confidence,ece,duration
common_voice_ur_42810147.mp3,whisper-large,علامہ کو سمجھ نہ آئی کہ دھرنا کب ختم کرنا چاہیے۔,علامہ کو سمجھ نہ آئی کہ درنا کب ختم کرنا چاہیے,0.18181818181818182,0.041666666666666664,0.9378517142363958,0.11966989605457756,0.0
common_voice_ur_42810148.mp3,whisper-large,مریکہ اور یورپ میں مزدوروں نے,امریکہ اور یورپ میں مزدوروں نے,0.16666666666666666,0.034482758620689655,0.9439592957496643,0.11062596241633094,0.0
common_voice_ur_42810149.mp3,whisper-large,لیکن اندر جو چیز ڈالی جاتی ہے۔,لیکن اندر جو چیز ڈالی جاتی ہے,0.14285714285714285,0.03333333333333333,0.9838589089257378,0.1267160517828807,0.0
common_voice_ur_42810150.mp3,whisper-large,وہ پنجاب کے وزیر قانون راجہ بشارت ہیں۔,وہ پنجاب کے وزیر قانون لاجہ بشارت ہیں,0.25,0.05263157894736842,0.921597961675037,0.17159796167503705,0.0
common_voice_ur_42810151.mp3,whisper-large,لیکن ہمارے ہاں جن کا دیہات سے براہ راست تعلق ہے۔,لیکن ہمارے ہاں جن کا دیہات سے براہ راست تعلق ہے,0.09090909090909091,0.020833333333333332,0.9392802016488436,0.030189292557934566,0.0
common_voice_ur_42810152.mp3,whisper-large,برسات کے موسم میں بوندوں کا افسوس کرنا خوبصورتی ہوتا ہے۔,برسات کے موسم میں بونوں کا افسوس کرنا خوبصورتی ہوتا ہے,0.18181818181818182,0.03571428571428571,0.9346633286311709,0.11648151044935262,0.0
common_voice_ur_42810153.mp3,whisper-large,عمران خان کا ماضی کیا ہے؟,امیران خان کا ماضی کیا ہے؟,0.16666666666666666,0.08,0.7572724744677544,0.076060858865579,0.0
common_voice_ur_42810154.mp3,whisper-large,انڈیا کے لوگوں کے مقابلے میں پاکستانی زیادہ خوش کیوں,انڈیا کے لوگوں کے مقابلے میں پاکستانی زیادہ خوش کیوں؟,0.1,0.019230769230769232,0.9532018210738897,0.05320182107388971,0.0
common_voice_ur_42810155.mp3,whisper-large,پرواز میں ایندھن بھرنے سے فالکن کی رینج بڑھ جاتی ہے۔,فرواز میں انگن برنے سے فالکن کی رینج بڑھ جاتی ہے۔,0.2727272727272727,0.09615384615384616,0.8775562077760697,0.1502834805033424,0.0
common_voice_ur_42810146.mp3,wav2vec2-urdu,کوئی پارٹی نہیں چھوڑی، ہر گھاٹ کا پانی پیا۔,کگی پارٹی مئی چھوڑی ہر گارٹ کپونی بیا,0.7777777777777778,0.3023255813953488,0.9842821359634399,0.7342821359634399,0.0
common_voice_ur_42810147.mp3,wav2vec2-urdu,علامہ کو سمجھ نہ آئی کہ دھرنا کب ختم کرنا چاہیے۔,علابہ کو سمح لاعی کہ درنا کب ختم کبلا جائی ہے,0.7272727272727273,0.3333333333333333,0.96343994140625,0.8725308504971591,0.0
common_voice_ur_42810148.mp3,wav2vec2-urdu,مریکہ اور یورپ میں مزدوروں نے,امریکہ اور یرپ بے مزدوروں نز,0.6666666666666666,0.20689655172413793,0.9822942018508911,0.6489608685175579,0.0
common_voice_ur_42810149.mp3,wav2vec2-urdu,لیکن اندر جو چیز ڈالی جاتی ہے۔,نگھیر عندر جو چیز ڈالی جاتی ہے,0.42857142857142855,0.23333333333333334,0.9836953282356262,0.4122667568070548,0.0
common_voice_ur_42810150.mp3,wav2vec2-urdu,وہ پنجاب کے وزیر قانون راجہ بشارت ہیں۔,وہ پنجاب کے وزیرے کانون راجہ بشارت ہیں,0.375,0.07894736842105263,0.9779134392738342,0.35291343927383423,0.0
common_voice_ur_42810151.mp3,wav2vec2-urdu,لیکن ہمارے ہاں جن کا دیہات سے براہ راست تعلق ہے۔,لیکن ہمارے ہاں جن کا دحات سے براہے راست ت علق ہے,0.45454545454545453,0.10416666666666667,0.9848597645759583,0.4015264312426249,0.0
common_voice_ur_42810152.mp3,wav2vec2-urdu,برسات کے موسم میں بوندوں کا افسوس کرنا خوبصورتی ہوتا ہے۔,برسات کہ موسم می معنوں گا صوس کرنا خوبصورتی ہوتا ہے,0.5454545454545454,0.17857142857142858,0.9754519462585449,0.5209064917130903,0.0
common_voice_ur_42810153.mp3,wav2vec2-urdu,عمران خان کا ماضی کیا ہے؟,ایوران خان کا معاضیح کیا ہے,0.5,0.24,0.9700179696083069,0.4700179696083069,0.0
common_voice_ur_42810154.mp3,wav2vec2-urdu,انڈیا کے لوگوں کے مقابلے میں پاکستانی زیادہ خوش کیوں,انڈیا کے لوگوں کے مقاولوے یں پاکستانی زیادہ خوشکیل,0.4,0.11538461538461539,0.9774883389472961,0.3108216722806295,0.0
common_voice_ur_42810155.mp3,wav2vec2-urdu,پرواز میں ایندھن بھرنے سے فالکن کی رینج بڑھ جاتی ہے۔,پرواز میں انگن برنے سے فلکن کی رین بڑ جاتی ہے,0.5454545454545454,0.15384615384615385,0.982018768787384,0.5274733142419294,0.0
