sentence	raw_sentence
خیر یار اسے طنزا بھی استعمال کرتے ہیں	خیر یار اسے طنزا بھی استعمال کرتے ہیں ۔
تمہارے خیال میں وہ اتنا بے نیاز ہے کہ اسے تمہارے گھر والوں کی فکر نہیں ہو گئی	تمہارے خیال میں وہ اتنا بے نیاز ہے کہ اسے تمہارے گھر والوں کی فکر نہیں ہو گئی
فرسٹ ایپیسوڈ کچھ خاص نہیں تھی	فرسٹ ایپیسوڈ کچھ خاص نہیں تھی
یہ پلکیں بھیگ جاتی ہیں	یہ پلکیں بھیگ جاتی ہیں
یاد ہے غالب تجھے وہ دن کہ وجد ذوق میں	یاد ہے غالب تجھے وہ دن کہ وجد ذوق میں
رنجش دل‘ یک جہاں ویراں کرے گی اے فلک	رنجش دل‘ یک جہاں ویراں کرے گی اے فلک
ہے طلسم دہر میں‘ صد حشر پاداش عمل	ہے طلسم دہر میں‘ صد حشر پاداشِ عمل
اس عدم توازن کے دوہی اسباب ہوسکتے ہیں	اس عدم توازن کے دوہی اسباب ہوسکتے ہیں۔
اے سر شوریدہ ذوق عشق و پاس آبرو	اے سرِ شوریدہ! ذوقِ عشق و پاسِ آبرو؟
عشق ہے مرگ باشرف مرگ حیات بے شرف	عشق ہے مرگ باشرف مرگ حیات بے شرف
نواز شریف نے تو پہلے ہی بگل بجا دی ہے کہ جوکچھ ہو رہا ہے	نواز شریف نے تو پہلے ہی بگل بجا دی ہے کہ جوکچھ ہو رہا ہے۔
زلف سیاہ رخ پہ پریشاں کئے ہوے	زلفِ سیاہ رُخ پہ پریشاں کئے ہوے
وکلاء کی تحریک بھڑک اٹھی اور چیف جسٹس افتخار چوہدری قوم کے ہیرو بن گئے	وکلاء کی تحریک بھڑک اٹھی اور چیف جسٹس افتخار چوہدری قوم کے ہیرو بن گئے۔
بس داڑھی رکھ لو اور چوری ڈکیتی دھوکا دھی اور بے ایمانی کا لائسنس لو	بس داڑھی رکھ لو اور چوری ڈکیتی دھوکا دھی اور بے ایمانی کا لائسنس لو
میر سپاہ ناسزا لشکریاں شکستہ صف	میر سپاہ ناسزا لشکریاں شکستہ صف
ترا دل تو ہے صنم اشنا تجھے کیا ملے گا نماز میں	ترا دل تو ہے صنم آشنا تجھے کیا ملے گا نماز میں
مدار اب کھودنے پر گھاس کے ہے میرے درباں کا	مدار اب کھودنے پر گھاس کے ہے میرے درباں کا
آئی آئی چندریگر روڈ پر ہونے والے احتجاج	آئی آئی چندریگر روڈ پر ہونے والے احتجاج
چہرے پر نو کیلی داڑھی تھی	چہرے پر نو کیلی داڑھی تھی
اب اردگرد کی دنیا کے بارے میں اچھا نظریہ رکھتے ہیں	اب اردگرد کی دنیا کے بارے میں اچھا نظریہ رکھتے ہیں
لیکن آنکھیں روزن دیوار زنداں ہو گئیں	لیکن آنکھیں روزنِ دیوارِ زنداں ہو گئیں
دل میں پھر گریہ نے اک شور اٹھایا غالب	دل میں پھر گریہ نے اک شور اٹھایا غالبؔ
اور اس وقت ملتان کی سرحدیں ساحل سمندر تک پھیلی ہوئی تھی	اور اس وقت ملتان کی سرحدیں ساحل سمندر تک پھیلی ہوئی تھی
میں راولپنڈی کے جس علاقے میں رہتا ہوں یہ عمران خان کا حلقہ انتخاب ہے	میں راولپنڈی کے جس علاقے میں رہتا ہوں، یہ عمران خان کا حلقۂ انتخاب ہے۔
وائے محرومی تسلیم و بدا حال وفا	وائے محرومیِ تسلیم و بدا حالِ وفا!
اصل شہود و شاہد و مشہود ایک ہے	اصلِ شہود و شاہد و مشہود ایک ہے
فلک کو پھوپھی سے کوئی سبق نہیں ملا	فلک کو پھوپھی سے کوئی سبق نہیں ملا
خاک بازی امید کارخانۂ طفلی	خاک بازی امید کارخانۂ طفلی
وہ وہیں غصہ کرتا ہے	وہ وہیں غصہ کرتا ہے
شام کے جدید ترین نقشے کے مطابق	شام کے جدید ترین نقشے کے مطابق
کل رات سوتے میں بھی اسے یوں لگا تھا	کل رات سوتے میں بھی اسے یوں لگا تھا
صرف معبود برحق کے سامنے جھکے	صرف معبودِ برحق کے سامنے جھکے
اس بستی میں کوئی ہوگا جو دوسرے کو پرسادے	اس بستی میں کوئی ہوگا جو دوسرے کو پرسادے؟
خلد بھی باغ ہے‘ خیر آب و ہوا اور سہی	خلد بھی باغ ہے‘ خیر آب و ہوا اور سہی
خبر نہیں روش بندہ پروری کیا ہے	خبر نہیں روش بندہ پروری کیا ہے
اس بات کو رواج دینا علما کا کام ہے	اس بات کو رواج دینا علما کا کام ہے۔
بس ایک کمی محسوس ھورھی ھے	بس ایک کمی محسوس ھورھی ھے
دل ہی تو ہے‘ نہ سنگ و خشت‘ درد سے بھر نہ آئے کیوں	دل ہی تو ہے‘ نہ سنگ و خشت‘ درد سے بھر نہ آئے کیوں؟
انہوں نے اپنے نجی اسپتال میں دہشت گردوں کا علاج کیا	انہوں نے اپنے نجی اسپتال میں دہشت گردوں کا علاج کیا
پیٹھ محراب کی قبلے کی طرف رہتی ہے	پیٹھ محراب کی قبلے کی طرف رہتی ہے
عرض متاع عقل و دل و جاں کئے ہوے	عرضِ متاعِ عقل و دل و جاں کئے ہوے
لاہور کو ایک منفرد اعزاز حاصل ہوا	لاہور کو ایک منفرد اعزاز حاصل ہوا
تم کو چاہوں کہ نہ آؤ تو بلائے نہ بنے	تم کو چاہوں؟ کہ نہ آؤ تو بلائے نہ بنے
ہوا واماندگی سے رہ رواں کی فرق منزل کا	ہوا واماندگی سے رہ رواں کی فرق منزل کا
حکمت کدوں سےعلم جو دے نہ سکے نفع	حکمت کدوں سےعلم جو دے نہ سکے نفع
ہوا ہے‘ خندۂ احباب‘ بخیہ جیب و دامن میں	ہوا ہے‘ خندۂ احباب‘ بخیہ جیب و دامن میں
آپ بھی شرمسار ہو مجھ کو بھی شرمسار کر	آپ بھی شرمسار ہو مجھ کو بھی شرمسار کر
بے تکلف دوست ہو جیسے کوئی غم خوار دوست	بے تکلّف دوست ہو جیسے کوئی غم خوارِ دوست
دل بہ سوز آتش داغ تمنا جل گیا	دل بہ سوز آتش داغ تمنا جل گیا
غلامی کیا ہے ذوق حسن و زیبائی سے محرومی	غلامی کیا ہے؟ ذوق حسن و زیبائی سے محرومی
اب منزل گم گشتہ سےکچھ دور نہیں ھوں	اب منزلِ گم گشتہ سےکچھ دور نہیں ھوں
یہ رسم برہم فنا ہے اے دل گناہ ہے جنبش نظر بھی	یہ رسم برہم فنا ہے اے دل گناہ ہے جنبش نظر بھی
میں نے اس کا مطالعہ کرلیا ہےآپ آرام سے اسائنمنٹ بنا کر مجھے دے دیجئے گا	میں نے اس کا مطالعہ کرلیا ہے۔آپ آرام سے اسائنمنٹ بنا کر مجھے دے دیجئے گا۔
جو مجھے عزیز کر دے اسی لامکاں پہ یارو	جو مجھے عزیز کر دے، اسی لامکاں پہ یارو
سپریم لیڈر نے مسئلہ فلسطین کی طرف اشارہ	سپریم لیڈر نے مسئلہ فلسطین کی طرف اشارہ
خاص طور دیگ بنانے کے کارخانے قابل ذکر ہیں	خاص طور دیگ بنانے کے کارخانے قابل ذکر ہیں
ہم فورا ہاتھ روک لیتے ہیں	ہم فوراً ہاتھ روک لیتے ہیں
لطف خلش پیکاں آسودگئ فتراک	لطف خلش پیکاں آسودگئ فتراک
پیغمبروں کی سیرت یہی کہتی ہے اور قوموں کی تاریخ بھی یہی شہادت دیتی ہے	پیغمبروں کی سیرت یہی کہتی ہے اور قوموں کی تاریخ بھی یہی شہادت دیتی ہے۔
ملت کے پاسباں کو نہ کچھ اس سے واسطہ	ملت کے پاسباں کو نہ کچھ اس سے واسطہ
دل تو چاہتا تھا کہ عدم تشدد وتشدد کو خیرباد کہہ دوں	دل تو چاہتا تھا کہ عدم تشدد وتشدد کو خیرباد کہہ دوں
نہ آئی سطوت قاتل بھی مانع میرے نالوں کو	نہ آئی سطوت قاتل بھی مانع میرے نالوں کو
اس نے رکشے سے اتر کر ان سے کہا کہ سٹریچر لے آئیں	اس نے رکشے سے اُتر کر ان سے کہا کہ سٹریچر لے آئیں
اس لیے سوال یہ ہونا چاہیے کہ کیا پاکستان کی قیادت نے افغانستان میںظلم کا ساتھ دیا	اس لیے سوال یہ ہونا چاہیے کہ کیا پاکستان کی قیادت نے افغانستان میںظلم کا ساتھ دیا؟
گدائے کوچۂ میخانہ نامراد نہیں	گدائے کوچۂ میخانہ نامراد نہیں
سلامت رہیں	سلامت رہیں۔
گوش منت کش گلبانگ تسلی نہ ہوا	گوش منت کش گلبانگ تسلی نہ ہوا
گر نفس جادۂ سر منزل تقوی نہ ہوا	گر نفس جادۂ سر منزل تقوی نہ ہوا
بیاں کس سے ہو‘ ظلمت گستری میرے شبستاں کی	بیاں کس سے ہو‘ ظلمت گستری میرے شبستاں کی!
اب جنوں کا نام خرد ہے جو چاہے آپ کا حسن کرشمہ ساز کرے ہیجان کیا ہے	اب جنوں کا نام خرد ہے جو چاہے، آپ کا حسن کرشمہ ساز کرے ہیجان کیا ہے؟
اگر مسلم لیگ نے شہباز شریف صاحب کو قائد مان کر چلنا ہے	اگر مسلم لیگ نے شہباز شریف صاحب کو قائد مان کر چلنا ہے۔
ماسک کا استعمال عوام کے لیے نہیں بلکہ وائرس کے مشتبہ افراد اور ان کے نگہداشت دہندگان کے لیے بہتر ہے	ماسک کا استعمال عوام کے لیے نہیں بلکہ وائرس کے مشتبہ افراد اور اُن کے نگہداشت دہندگان کے لیے بہتر ہے
اس لئے خفیہ اداروں کے تمام امور کو بخوبی جانتے تھے	اس لئے خفیہ اداروں کے تمام امور کو بخوبی جانتے تھے
اس پس منظر میں ڈاکٹر خلیل احمد کی کتاب بہت اہمیت رکھتی ہے	اس پس منظر میں ڈاکٹر خلیل احمد کی کتاب بہت اہمیت رکھتی ہے۔
کوئی ٹریک بتاﺅ فری نیٹ ایکٹیو کرنے کے لئے	کوئی ٹریک بتاﺅ۔ فری نیٹ ایکٹیو کرنے کے لئے
نہ استحکام ریاست سیاسی لغت کا اس کے بعد خوف کے حصار میں رہتا ہوں	نہ استحکام ریاست، سیاسی لغت کا اس کے بعد خوف کے حصار میں رہتا ہوں۔
ایسا ھی ھنر اے کاش میں بھی پاؤں	ایسا ھی ھنر اے کاش میں بھی پاؤں
اس حوالے سے دو سوالات اٹھائے جاتے ہیں	اس حوالے سے دو سوالات اٹھائے جاتے ہیں۔
تجھ سے امید کر رہا ہے کوئی	تجھ سے امید کر رہا ہے کوئی
اب تو انعام دیا جاتا ہے غداری پر	اب تو انعام دیا جاتا ہے غدّاری پر
اسے کسی دوسری جگہ حراستی کیمپ میں رکھ دیا گیا	اسے کسی دوسری جگہ حراستی کیمپ میں رکھ دیا گیا
یہاں اللہ نے انسان کو مسجود ملائکہ بنا دیا	یہاں اللہ نے انسان کو مسجود ملائکہ بنا دیا
اگست رکھا گیا جو اصل میں روم کے پہلے بادشاہ کے نام پر تھا	اگست رکھا گیا جو اصل میں روم کے پہلے بادشاہ کے نام پر تھا۔
اس لیے ان کا مسئلہ قانون شکنی یا آئینی شکنی سرے سے ہے	اس لیے ان کا مسئلہ قانون شکنی یا آئینی شکنی سرے سے ہے۔
اڑتے ہوئے پرندوں کوکوئی قیدنہیں کرسکتافراز	اُڑتے ہوئے پرندوں کوکوئی قیدنہیں کرسکتافراز
زخم نے داد نہ دی تنگئ دل کی یا رب	زخم نے داد نہ دی تنگئ دل کی یا رب
اس فضا میں سیاسی اسلام ایک بوجھ ہے	"اس فضا میں سیاسی اسلام"""" ایک بوجھ ہے۔"
اسی کوکب کی تابانی سے ہے تیرا جہاں روشن	اسی کوکب کی تابانی سے ہے تیرا جہاں روشن
اس بات سے جیتا ہے جو اس کے رب کی طرف سے آتی ہے	اس بات سے جیتا ہے جو اس کے رب کی طرف سے آتی ہے
نالہ جز حسن طلب‘ اے ستم ایجاد نہیں	نالہ جُز حسنِ طلب‘ اے ستم ایجاد! نہیں
اجڑے ہوئے گھر کا میں وہ دروازہ ہوں غالب	اجڑے ہوئے گھر کا میں وہ دروازہ ہوں غالب
کہ خامشی کو ہے پیرایۂ بیاں تجھ سے	کہ خامشی کو ہے پیرایۂ بیاں تجھ سے
وعدۂ سیر گلستاں ہے‘ خوشا طالع شوق	وعدۂ سیر گلستاں ہے‘ خوشا طالعِ شوق!
زمیں جوش طرب سے جام لب ریز سفالی ہے	زمیں جوشِ طرب سے جامِ لب ریزِ سفالی ہے
صرف حج کے براہ راست مناظر اور خطبہ ء حج نشر کیا گیا	صرف حج کے براہ راست مناظر اور خطبہ ء حج نشر کیا گیا
وا کرد چشم شوق بہ آغوش کوہسارا	وا کرد چشمِ شوق بہ آغوشِ کوہسارا
کمیاب عورت بننا چاہتی ہوں میری صدگی دیکھ میں کیا چاہتا ہوں	کمیاب عورت بننا چاہتی ہوں میری صدگی دیکھ میں کیا چاہتا ہوں
اس لحاظ سے پاکستان میں کرکٹ ٹیم کی بری کارکردگی قومی سطح کا ایشو بن جاتا ہے	اس لحاظ سے پاکستان میں کرکٹ ٹیم کی بری کارکردگی قومی سطح کا ایشو بن جاتا ہے۔
اسد ہر جا سخن نے طرح باغ تازہ ڈالی ہے	اسدؔ ہر جا سخن نے طرح باغ تازہ ڈالی ہے
گھٹیا لوگ گھٹیا سوچ گھٹیا منہ	گھٹیا لوگ گھٹیا سوچ گھٹیا منہ
عدم اعتماد پر ووٹنگ کا آغاز	عدم اعتماد پر ووٹنگ کا آغاز
اس سے بھارت کو کچھ ملنے والا ہے	اس سے بھارت کو کچھ ملنے والا ہے۔
شرم اک اداے ناز ہے‘ اپنے ہی سے سہی	شرم اک اداے ناز ہے‘ اپنے ہی سے سہی
ان شاءاللہ	ان شاءاللہ
کبھی حسن ہے شباب ہے	کبھی حسن ہے، شباب ہے
مہربانی ہاۓ دشمن کی شکایت کیجیۓ	مہربانی ہاۓ دشمن کی شکایت کیجیۓ
یہ سب چیزیں انسان سے صبر چاہتی ہیں	یہ سب چیزیں انسان سے صبر چاہتی ہیں
موج سراب دشت وفا کا نہ پوچھ حال	موج سراب دشت وفا کا نہ پوچھ حال
وہ شوخ اپنے حسن پہ مغرور ہے اسد	وہ شوخ اپنے حسن پہ مغرور ہے اسد!
الحمدللہ میں کامیاب ہوں	الحمدللہ میں کامیاب ہوں۔
کہیں اس مباحثے میں نہ ہو بندگی قضا	کہیں اس مباحثے میں نہ ہو بندگی قضا
ایک لمبا عمل تھا اور وہ بنو ہاشم کے سردار	ایک لمبا عمل تھا اور وہ بنو ہاشم کے سردار
تب ہی وہ ایسے ڈسیشنز لیتے ہیں جن کے رزلٹ ہار کی صورت میں سامنے آتے ہیں	تب ہی وہ ایسے ڈسیشنز لیتے ہیں جن کے رزلٹ ہار کی صورت میں سامنے آتے ہیں
ماہرین نے اب تک اسے سازشی مفروضہ کہتے ہوئے	ماہرین نے اب تک اسے سازشی مفروضہ کہتے ہوئے
اکنامک کاریڈور کو مختلف حیلے بہانوں سے متنازع بنانے کی مہمات چلیں گی	اکنامک کاریڈور کو مختلف حیلے بہانوں سے متنازع بنانے کی مہمات چلیں گی۔
ابلاغ کی ہر وہ صلاحیت جوخدا نے عطا کی ہے اس کا شکر ہم پر واجب ہے	ابلاغ کی ہر وہ صلاحیت جوخدا نے عطا کی ہے، اس کا شکر ہم پر واجب ہے۔
اسلام کا سنہرا دور ابن سینا یا ابو علی سینا ارسطو کے بعد آنے والا ایک اور عظیم فلسفی	اسلام کا سنہرا دور: ابن سینا یا ابو علی سینا، ارسطو کے بعد آنے والا ایک اور عظیم فلسفی
کرتے ہو مجھ کو منع قدم بوس کس لیے	کرتے ہو مجھ کو منعِ قدم بوس کس لیے؟
کس سے محرومی قسمت کی شکایت کیجے	کس سے محرومیٔ قسمت کی شکایت کیجے
آب ہو جاتے ہیں ننگ ہمت باطل سے مرد	آب ہو جاتے ہیں ننگِ ہمتِ باطل سے مرد
انہیں دہشت گردی سے متعلق قوانین کے تحت کیوں پکڑا جا رہا ہے	انہیں دہشت گردی سے متعلق قوانین کے تحت کیوں پکڑا جا رہا ہے؟
کعبہ میں جا رہا‘ تو نہ دو طعنہ‘ کیا کہیں	کعبہ میں جا رہا‘ تو نہ دو طعنہ‘ کیا کہیں
